record_type,population,feature,level,count,fraction,mean,median,q25,q75,minimum,maximum
continuous_summary,confirmation,heavy_atom_count,all,1000,1.0,16.961,17.0,14.0,20.0,5.0,34.0
continuous_summary,confirmation,heteroatom_count,all,1000,1.0,4.588,5.0,3.0,6.0,0.0,11.0
continuous_summary,confirmation,formal_charge,all,1000,1.0,-0.007,0.0,0.0,0.0,-3.0,1.0
continuous_summary,confirmation,ring_count,all,1000,1.0,2.377,2.0,2.0,3.0,0.0,7.0
continuous_summary,confirmation,rotatable_bond_count,all,1000,1.0,1.747,2.0,1.0,2.0,0.0,12.0
categorical_count,confirmation,formal_charge_class,neutral,897,0.897,,,,,,
categorical_count,confirmation,formal_charge_class,negative,53,0.053,,,,,,
categorical_count,confirmation,formal_charge_class,positive,50,0.05,,,,,,
categorical_count,confirmation,ring_class,ring_containing,973,0.973,,,,,,
categorical_count,confirmation,ring_class,acyclic,27,0.027,,,,,,
categorical_count,confirmation,central_bond_class,C-C,475,0.475,,,,,,
categorical_count,confirmation,central_bond_class,C-N,368,0.368,,,,,,
categorical_count,confirmation,central_bond_class,other_central_bonds,94,0.094,,,,,,
categorical_count,confirmation,central_bond_class,C-O,63,0.063,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-C-C,165,0.165,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-N-C-C,111,0.111,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-N-C,102,0.102,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-C-C-C,60,0.06,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-C-N,50,0.05,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-C-O,45,0.045,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-C-C-C,45,0.045,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-C-N-C,42,0.042,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-C-N-C,24,0.024,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-N-C-O,22,0.022,,,,,,
