axis,level,comparator,metric,profile_count,proposed_mean,comparator_mean,relative_reduction,ci_low,ci_high,win_count,tie_count,loss_count,win_fraction
whole_similarity_quartile,whole_similarity_Q1,zero_shot_active,profile_mae,250,0.2973859155743814,0.34167463345293003,0.12962249327956032,0.037491287755495345,0.2143823368222912,138,0,112,0.552
whole_similarity_quartile,whole_similarity_Q1,zero_shot_active,barrier_abs_error,250,0.09593445666134232,0.10851054638409369,0.11589739561568435,-0.15852812782499007,0.3326901373527327,61,139,50,0.244
whole_similarity_quartile,whole_similarity_Q1,learned_equal,profile_mae,250,0.2973859155743814,0.33930725906966375,0.12354979852251091,0.016990358132534356,0.21293344142980258,134,0,116,0.536
whole_similarity_quartile,whole_similarity_Q1,learned_equal,barrier_abs_error,250,0.09593445666134232,0.3195306875792964,0.6997644971501065,0.5855278612906836,0.7954701478260664,159,54,37,0.636
whole_similarity_quartile,whole_similarity_Q2,zero_shot_active,profile_mae,248,0.3069983431386586,0.38461467155826917,0.20180282802303784,0.12393372445063643,0.28409326282852554,157,0,91,0.6330645161290323
whole_similarity_quartile,whole_similarity_Q2,zero_shot_active,barrier_abs_error,248,0.14371666811988093,0.19404864107203118,0.25937812640216806,-0.014376230440741992,0.5111493367153958,62,137,49,0.25
whole_similarity_quartile,whole_similarity_Q2,learned_equal,profile_mae,248,0.3069983431386586,0.3295151054001596,0.0683330199207618,-0.0028920590385700796,0.1333092213375659,143,0,105,0.5766129032258065
whole_similarity_quartile,whole_similarity_Q2,learned_equal,barrier_abs_error,248,0.14371666811988093,0.35465203346845076,0.5947671109781872,0.4407741747651322,0.7498400399557789,156,60,32,0.6290322580645161
whole_similarity_quartile,whole_similarity_Q3,zero_shot_active,profile_mae,252,0.3002598217216329,0.44440466066421896,0.3243549217668945,0.24541765162134288,0.3975997802342449,163,0,89,0.6468253968253969
whole_similarity_quartile,whole_similarity_Q3,zero_shot_active,barrier_abs_error,252,0.09031257049365282,0.19022735231814702,0.5252387766896479,0.3264558943448069,0.6780771512005732,69,138,45,0.27380952380952384
whole_similarity_quartile,whole_similarity_Q3,learned_equal,profile_mae,252,0.3002598217216329,0.3530542584704151,0.1495363261655891,0.07002704572595439,0.21974224271910664,137,1,114,0.5436507936507936
whole_similarity_quartile,whole_similarity_Q3,learned_equal,barrier_abs_error,252,0.09031257049365282,0.3760888939229521,0.7598637663781829,0.6626945321382053,0.8389796209788841,166,53,33,0.6587301587301587
whole_similarity_quartile,whole_similarity_Q4,zero_shot_active,profile_mae,250,0.4549015675302071,0.629481614073198,0.2773393894911921,0.0978263846577908,0.41626815829757696,178,0,72,0.712
whole_similarity_quartile,whole_similarity_Q4,zero_shot_active,barrier_abs_error,250,0.2803716742008989,0.42607590893414465,0.3419677847962207,-0.05197099276248192,0.6868895407680563,84,114,52,0.336
whole_similarity_quartile,whole_similarity_Q4,learned_equal,profile_mae,250,0.4549015675302071,0.45688344569920925,0.004337820045042573,-0.22690220789849583,0.1580570639023035,132,0,118,0.528
whole_similarity_quartile,whole_similarity_Q4,learned_equal,barrier_abs_error,250,0.2803716742008989,0.5625097025849802,0.5015700655251503,0.22037133140254858,0.76207705680867,166,47,37,0.664
torsion_descriptor_distance_quartile,torsion_distance_Q1,zero_shot_active,profile_mae,250,0.26625868778906964,0.42778164767692306,0.37758272418886396,0.2627998688705262,0.4763859531919979,162,0,88,0.648
torsion_descriptor_distance_quartile,torsion_distance_Q1,zero_shot_active,barrier_abs_error,250,0.06603250829368844,0.16117762030874377,0.5903121775392894,0.12139734116345335,0.7870336164400245,58,145,47,0.232
torsion_descriptor_distance_quartile,torsion_distance_Q1,learned_equal,profile_mae,250,0.26625868778906964,0.2977146211294498,0.1056580063855942,0.039267975374254055,0.16995839617911582,129,0,121,0.516
torsion_descriptor_distance_quartile,torsion_distance_Q1,learned_equal,barrier_abs_error,250,0.06603250829368844,0.31176522725917644,0.7881979691122052,0.7035255137577177,0.856232379435619,164,54,32,0.656
torsion_descriptor_distance_quartile,torsion_distance_Q2,zero_shot_active,profile_mae,250,0.30243141010760466,0.4292540340933565,0.2954488808791713,0.23747845027263825,0.3517884564357622,171,0,79,0.684
torsion_descriptor_distance_quartile,torsion_distance_Q2,zero_shot_active,barrier_abs_error,250,0.11008723860333268,0.16829145168599796,0.34585365150491443,0.07499988783036914,0.538606727883478,71,124,55,0.284
torsion_descriptor_distance_quartile,torsion_distance_Q2,learned_equal,profile_mae,250,0.30243141010760466,0.3583939429029264,0.15614809877096503,0.07806330388089576,0.22801462495618222,133,0,117,0.532
torsion_descriptor_distance_quartile,torsion_distance_Q2,learned_equal,barrier_abs_error,250,0.11008723860333268,0.3822823317417682,0.7120263494738317,0.6132699076570213,0.7973020617361527,162,51,37,0.648
torsion_descriptor_distance_quartile,torsion_distance_Q3,zero_shot_active,profile_mae,250,0.3770444526129813,0.5022757735439547,0.24932781457358955,0.16289382533012464,0.3315327802310502,154,0,96,0.616
torsion_descriptor_distance_quartile,torsion_distance_Q3,zero_shot_active,barrier_abs_error,250,0.14504218919026987,0.2774840457277969,0.47729539256987885,0.3037884952317267,0.6556662756828243,79,134,37,0.316
torsion_descriptor_distance_quartile,torsion_distance_Q3,learned_equal,profile_mae,250,0.3770444526129813,0.3944937217840027,0.0442320579706853,-0.04588621295169038,0.12321148791612228,136,0,114,0.544
torsion_descriptor_distance_quartile,torsion_distance_Q3,learned_equal,barrier_abs_error,250,0.14504218919026987,0.42353278292226515,0.6575420013782244,0.5313612619014455,0.7822792671642887,165,54,31,0.66
torsion_descriptor_distance_quartile,torsion_distance_Q4,zero_shot_active,profile_mae,250,0.41375718928388794,0.44134244434722963,0.06250306404166917,-0.171670077400985,0.21979183596443688,149,0,101,0.596
torsion_descriptor_distance_quartile,torsion_distance_Q4,zero_shot_active,barrier_abs_error,250,0.2887462006074743,0.3118787606758468,0.07417164291099476,-0.4779210945697571,0.4684202456208657,68,125,57,0.272
torsion_descriptor_distance_quartile,torsion_distance_Q4,learned_equal,profile_mae,250,0.41375718928388794,0.4283460960476307,0.03405868968657655,-0.21233597879824492,0.19735477468692908,148,1,101,0.592
torsion_descriptor_distance_quartile,torsion_distance_Q4,learned_equal,barrier_abs_error,250,0.2887462006074743,0.4953724705161059,0.41711294471684535,0.0921738488321416,0.7084571496416303,156,55,39,0.624
heavy_atom_quartile,heavy_atoms_Q1,zero_shot_active,profile_mae,204,0.3217111939853925,0.3592602479577194,0.10451769764615304,0.049160980150522025,0.1652332879053316,115,0,89,0.5637254901960784
heavy_atom_quartile,heavy_atoms_Q1,zero_shot_active,barrier_abs_error,204,0.20578512365028678,0.21871156184146628,0.059102674236075625,-0.0942588984681636,0.24882249920928512,50,107,47,0.24509803921568626
heavy_atom_quartile,heavy_atoms_Q1,learned_equal,profile_mae,204,0.3217111939853925,0.39547396322488704,0.18651738445180321,0.09762462024755696,0.28169151205496346,118,0,86,0.5784313725490197
heavy_atom_quartile,heavy_atoms_Q1,learned_equal,barrier_abs_error,204,0.20578512365028678,0.5000675444737691,0.5884853437812316,0.395029530663918,0.8238833537898674,144,35,25,0.7058823529411765
