method,budget,metric,error_kcal_mol,cumulative_fraction,profile_count
learned_active,6,profile_mae,0.0093640853180604,0.001,1000
learned_active,6,profile_mae,0.0143827210541148,0.002,1000
learned_active,6,profile_mae,0.0146029441474758,0.003,1000
learned_active,6,profile_mae,0.0215986189104725,0.004,1000
learned_active,6,profile_mae,0.0222520693002017,0.005,1000
learned_active,6,profile_mae,0.0231549746106067,0.006,1000
learned_active,6,profile_mae,0.0242341576161212,0.007,1000
learned_active,6,profile_mae,0.0243038810292198,0.008,1000
learned_active,6,profile_mae,0.02750872951287,0.009,1000
learned_active,6,profile_mae,0.0303435647584496,0.01,1000
learned_active,6,profile_mae,0.0305956533003575,0.011,1000
learned_active,6,profile_mae,0.0309557355804313,0.012,1000
learned_active,6,profile_mae,0.0315708680799935,0.013,1000
learned_active,6,profile_mae,0.0328368332337763,0.014,1000
learned_active,6,profile_mae,0.0337387968930386,0.015,1000
learned_active,6,profile_mae,0.0338256718359259,0.016,1000
learned_active,6,profile_mae,0.0364759219880704,0.017,1000
learned_active,6,profile_mae,0.0366497112688614,0.018,1000
learned_active,6,profile_mae,0.0379217559426065,0.019,1000
learned_active,6,profile_mae,0.0391537398247587,0.02,1000
learned_active,6,profile_mae,0.0393759662037687,0.021,1000
learned_active,6,profile_mae,0.0398929902544174,0.022,1000
learned_active,6,profile_mae,0.0406302651855076,0.023,1000
learned_active,6,profile_mae,0.0410468911480054,0.024,1000
learned_active,6,profile_mae,0.0410909401914254,0.025,1000
learned_active,6,profile_mae,0.0414885248245751,0.026,1000
learned_active,6,profile_mae,0.0421229994652684,0.027,1000
learned_active,6,profile_mae,0.0428582234864762,0.028,1000
learned_active,6,profile_mae,0.0434249919604878,0.029,1000
learned_active,6,profile_mae,0.0446401768104749,0.03,1000
learned_active,6,profile_mae,0.0446435772413659,0.031,1000
learned_active,6,profile_mae,0.0452514720287066,0.032,1000
learned_active,6,profile_mae,0.0457791631363132,0.033,1000
learned_active,6,profile_mae,0.0462101800345046,0.034,1000
learned_active,6,profile_mae,0.0462355894803691,0.035,1000
learned_active,6,profile_mae,0.046354571963601,0.036,1000
learned_active,6,profile_mae,0.0465447687957312,0.037,1000
learned_active,6,profile_mae,0.0467594381237096,0.038,1000
learned_active,6,profile_mae,0.0472018649584709,0.039,1000
learned_active,6,profile_mae,0.0473855813136926,0.04,1000
learned_active,6,profile_mae,0.0480839740248016,0.041,1000
learned_active,6,profile_mae,0.048558929714024,0.042,1000
learned_active,6,profile_mae,0.0496462546334064,0.043,1000
learned_active,6,profile_mae,0.0500830525842783,0.044,1000
learned_active,6,profile_mae,0.050312892275922,0.045,1000
learned_active,6,profile_mae,0.050384492807112,0.046,1000
learned_active,6,profile_mae,0.0505736906980128,0.047,1000
learned_active,6,profile_mae,0.0521513154145396,0.048,1000
learned_active,6,profile_mae,0.0522718247415406,0.049,1000
learned_active,6,profile_mae,0.0533338064561809,0.05,1000
learned_active,6,profile_mae,0.053908093895667,0.051,1000
learned_active,6,profile_mae,0.0543476169343857,0.052,1000
learned_active,6,profile_mae,0.0544229620009999,0.053,1000
learned_active,6,profile_mae,0.0549086272852783,0.054,1000
learned_active,6,profile_mae,0.0583747289208719,0.055,1000
learned_active,6,profile_mae,0.0588912139199114,0.056,1000
learned_active,6,profile_mae,0.059736002035844,0.057,1000
learned_active,6,profile_mae,0.0599828332008462,0.058,1000
learned_active,6,profile_mae,0.0599989917434922,0.059,1000
learned_active,6,profile_mae,0.0621317651252309,0.06,1000
learned_active,6,profile_mae,0.0621857291759932,0.061,1000
learned_active,6,profile_mae,0.0622319016334776,0.062,1000
learned_active,6,profile_mae,0.0636266805990471,0.063,1000
learned_active,6,profile_mae,0.0638242060214048,0.064,1000
learned_active,6,profile_mae,0.064601488504079,0.065,1000
learned_active,6,profile_mae,0.0649480633780883,0.066,1000
learned_active,6,profile_mae,0.0649961273939371,0.067,1000
learned_active,6,profile_mae,0.0657582894841866,0.068,1000
learned_active,6,profile_mae,0.0659821946932224,0.069,1000
learned_active,6,profile_mae,0.0660030621257591,0.07,1000
learned_active,6,profile_mae,0.0670431963977869,0.071,1000
learned_active,6,profile_mae,0.0677248119322999,0.072,1000
learned_active,6,profile_mae,0.0678289295912291,0.073,1000
learned_active,6,profile_mae,0.0679846609504003,0.074,1000
learned_active,6,profile_mae,0.0682267514970508,0.075,1000
learned_active,6,profile_mae,0.0684282433348273,0.076,1000
learned_active,6,profile_mae,0.0684389837277002,0.077,1000
learned_active,6,profile_mae,0.0685293238251019,0.078,1000
learned_active,6,profile_mae,0.0690308119487736,0.079,1000
learned_active,6,profile_mae,0.0691898127816625,0.08,1000
learned_active,6,profile_mae,0.069412595667372,0.081,1000
learned_active,6,profile_mae,0.0703583634002533,0.082,1000
learned_active,6,profile_mae,0.0705860920837582,0.083,1000
learned_active,6,profile_mae,0.0710765746997382,0.084,1000
learned_active,6,profile_mae,0.0720391721995559,0.085,1000
learned_active,6,profile_mae,0.0726392347228866,0.086,1000
learned_active,6,profile_mae,0.0728768528470015,0.087,1000
learned_active,6,profile_mae,0.0730329009932139,0.088,1000
learned_active,6,profile_mae,0.0732944791474642,0.089,1000
learned_active,6,profile_mae,0.0733978603267744,0.09,1000
learned_active,6,profile_mae,0.0741278368263118,0.091,1000
learned_active,6,profile_mae,0.0744153071823034,0.092,1000
learned_active,6,profile_mae,0.0751821863882251,0.093,1000
learned_active,6,profile_mae,0.0754574939949782,0.094,1000
learned_active,6,profile_mae,0.0755075174692864,0.095,1000
learned_active,6,profile_mae,0.0759435493979082,0.096,1000
learned_active,6,profile_mae,0.0762255146283647,0.097,1000
learned_active,6,profile_mae,0.0768265709734848,0.098,1000
learned_active,6,profile_mae,0.0769376647460755,0.099,1000
learned_active,6,profile_mae,0.0769742133567782,0.1,1000
learned_active,6,profile_mae,0.077119868114664,0.101,1000
learned_active,6,profile_mae,0.0775161178515722,0.102,1000
learned_active,6,profile_mae,0.0778158643563827,0.103,1000
learned_active,6,profile_mae,0.0779496973195876,0.104,1000
learned_active,6,profile_mae,0.0780153129765398,0.105,1000
learned_active,6,profile_mae,0.0781725708340672,0.106,1000
learned_active,6,profile_mae,0.0781791232156772,0.107,1000
learned_active,6,profile_mae,0.0798367827958284,0.108,1000
learned_active,6,profile_mae,0.0798852610329563,0.109,1000
learned_active,6,profile_mae,0.0804498277659087,0.11,1000
learned_active,6,profile_mae,0.0804778139376075,0.111,1000
learned_active,6,profile_mae,0.0805830060343763,0.112,1000
learned_active,6,profile_mae,0.0807339983659553,0.113,1000
learned_active,6,profile_mae,0.0816265346770347,0.114,1000
learned_active,6,profile_mae,0.0819501031211404,0.115,1000
learned_active,6,profile_mae,0.082239699598847,0.116,1000
learned_active,6,profile_mae,0.0834508447794303,0.117,1000
learned_active,6,profile_mae,0.0835822714906347,0.118,1000
learned_active,6,profile_mae,0.0849043626034863,0.119,1000
learned_active,6,profile_mae,0.085070412969731,0.12,1000
learned_active,6,profile_mae,0.0851535206944903,0.121,1000
