population,profile,molecule,candidate_count,target_barrier_kcal_mol,central_bond_class,torsion_element_sequence,canonical_smiles,heavy_atom_count,heteroatom_count,formal_charge,formal_charge_class,ring_count,ring_class,rotatable_bond_count,max_whole_similarity,min_torsion_descriptor_distance,whole_similarity_quartile,torsion_descriptor_distance_quartile,heavy_atom_quartile
confirmation,0000b1b53aa25ebb852d232f1d64c6b9,[C:1]([O:2][C:3](=[O:4])[c:5]1[c:6]([H:9])[c:8]2[c:10]([H:13])[c:12]([H:15])[c:14]([H:17])[n:16][n:11]2[n:7]1)([H:18])([H:19])[H:20],24,5.75,C-C,O-C-C-N,COC(=O)c1cc2cccnn2n1,13,5,0,neutral,2,ring_containing,1,0.32608695652173914,0.2092598403580028,whole_similarity_Q3,torsion_distance_Q2,heavy_atoms_Q1
confirmation,00024eb0a7315271bbd5fcbe158bb077,[C:1]([c:2]1[o:3][n:5][c:6]([C:7]([H:22])([H:23])[H:24])[c:4]1[C:8]([n:9]1[c:12]([H:15])[c:14]([Cl:16])[c:17]([C:18]([H:25])([H:26])[H:27])[n:13]1)([H:10])[H:11])([H:19])([H:20])[H:21],24,2.75,C-N,C-C-N-C,Cc1nn(Cc2c(C)noc2C)cc1Cl,15,5,0,neutral,2,ring_containing,2,0.2553191489361702,0.32044402950661766,whole_similarity_Q2,torsion_distance_Q3,heavy_atoms_Q2
confirmation,00040bc22cc851d0b779664beba4d458,[C:1]([C:2]1=[N+:3]([O-:4])[C:5]([H:13])([H:14])[N:6]([C:7]([H:15])([H:16])[H:17])[C:8]1([C:9]([H:19])([H:20])[H:21])[H:18])([H:10])([H:11])[H:12],13,18.125,C-N,C-C-N-C,CC1=[N+]([O-])CN(C)C1C,9,3,0,neutral,1,ring_containing,0,0.20512820512820512,0.2982899564303062,whole_similarity_Q1,torsion_distance_Q3,heavy_atoms_Q1
confirmation,00048c3f690c5eb185a534722fd28936,[O:1]=[C:2]1[C:3]([H:12])([H:13])[C:4]([C:5]([F:6])([F:7])[F:8])([H:14])[C:9]([H:15])([H:16])[C:10]([H:17])([H:18])[N:11]1[H:19],24,5.1875,C-C,C-C-C-F,O=C1CC(C(F)(F)F)CCN1,11,5,0,neutral,1,ring_containing,0,0.24444444444444444,0.4300846226915048,whole_similarity_Q1,torsion_distance_Q4,heavy_atoms_Q1
confirmation,00049f28556454e0af271c23c14e4823,[C:1]([c:2]1[c:3]([H:12])[c:4]([H:13])[c:5]([F:6])[n:7][n+:8]1[H:14])([H:9])([H:10])[H:11],21,19.796875,C-N,C-C-N-N,Cc1ccc(F)n[nH+]1,8,3,1,positive,1,ring_containing,0,0.29411764705882354,0.48412465232530194,whole_similarity_Q2,torsion_distance_Q4,heavy_atoms_Q1
confirmation,0005605302985b1fbce1310fe96918a6,[C:1]([c:2]1[c:3]([H:5])[c:6]([H:7])[c:8]2[c:9]([c:4]1[H:12])[C:11]([H:32])([H:33])[C:13]([H:34])([H:35])[N:10]2[C:14](=[O:15])[N:16]([c:17]1[c:19]([H:21])[c:22]([H:23])[c:24]([Cl:25])[c:26]([H:27])[c:20]1[H:28])[H:18])([H:29])([H:30])[H:31],24,6.6875,C-N,N-C-N-C,Cc1ccc2c(c1)CCN2C(=O)Nc1ccc(Cl)cc1,20,4,0,neutral,3,ring_containing,1,0.32,0.22167781617349744,whole_similarity_Q3,torsion_distance_Q2,heavy_atoms_Q4
confirmation,000560acfaa9505c9328cad8a7a369b1,[C:1]([c:2]1[c:3]([H:26])[c:4]([C:5](=[O:6])[N:7]2[C:8]([H:27])([H:28])[c:9]3[c:10]([H:29])[c:11]([H:30])[c:12]([H:31])[c:13]([H:32])[c:14]3[O:15][C:16]([F:17])([F:18])[C:19]2([H:33])[H:34])[n:20][c:21]([H:35])[n:22]1)([H:23])([H:24])[H:25],24,12.0,C-C,C-C-C-O,Cc1cc(C(=O)N2Cc3ccccc3OC(F)(F)C2)ncn1,22,7,0,neutral,3,ring_containing,1,0.5,0.21440863306243751,whole_similarity_Q4,torsion_distance_Q2,heavy_atoms_Q4
confirmation,0005fe60eee251489ef0ee9989a57ce3,[O:1]=[C:2]([C:3]1([H:22])[C:4]([H:23])([H:24])[C:5]([H:25])([H:26])[O:6][C:7]([H:27])([H:28])[C:8]1([H:29])[H:30])[N:9]1[C:10]([H:31])([H:32])[c:11]2[c:12]([H:33])[c:13]([H:34])[c:14]([H:35])[c:15]([H:36])[c:16]2[O:17][C:18]([F:19])([F:20])[C:21]1([H:37])[H:38],24,19.5625,C-N,C-C-N-C,O=C(C1CCOCC1)N1Cc2ccccc2OC(F)(F)C1,21,6,0,neutral,3,ring_containing,1,0.4918032786885246,0.31257638002678895,whole_similarity_Q4,torsion_distance_Q3,heavy_atoms_Q4
confirmation,0007a28739a55e5dbbf1ed7aceeb7286,[C:1]([c:2]1[c:3](-[c:5]2[c:7]([H:9])[c:10]([H:11])[c:12]3[n:13][c:15]([H:16])[c:17]([H:18])[c:19]([H:20])[c:14]3[c:8]2[H:21])[c:6]([H:22])[n:23][n:4]1[C:24]([H:28])([H:29])[H:30])([H:25])([H:26])[H:27],24,2.21875,C-C,C-C-C-C,Cc1c(-c2ccc3ncccc3c2)cnn1C,17,3,0,neutral,3,ring_containing,1,0.4375,0.12831897048848764,whole_similarity_Q4,torsion_distance_Q1,heavy_atoms_Q3
confirmation,0007d47500dd5e3083643d2361856ff0,[C:1]([C:2]([C:3]1([C:4](=[O:5])[N:6]([C:7]([H:23])([H:24])[H:25])[C:8]([H:26])([H:27])[H:28])[C:9]([H:29])([H:30])[C:10]([H:31])([H:32])[C:11]([H:33])([H:34])[c:12]2[c:13]([H:35])[c:14]([H:36])[c:15]([H:37])[c:16]([H:38])[c:17]21)([H:21])[H:22])([H:18])([H:19])[H:20],24,8.1875,C-C,C-C-C-C,CCC1(C(=O)N(C)C)CCCc2ccccc21,17,2,0,neutral,2,ring_containing,2,0.3673469387755102,0.10937632274228487,whole_similarity_Q4,torsion_distance_Q1,heavy_atoms_Q3
confirmation,0009f6404d1f5a7db2aa85c2aec8f348,[C:1]([C:2](=[O:3])[N:4]([C:5]([C:7]([H:10])([H:11])[H:12])([c:8]1[c:13]([H:15])[c:16]([Cl:17])[c:18]([H:19])[c:20]([H:21])[n:14]1)[H:9])[H:6])([H:22])([H:23])[H:24],24,8.5,C-N,C-N-C-C,CC(=O)NC(C)c1cc(Cl)ccn1,13,4,0,neutral,1,ring_containing,2,0.3191489361702128,0.315869899727771,whole_similarity_Q3,torsion_distance_Q3,heavy_atoms_Q1
