analysis_type,accepted_count,coverage,distance_max,is_frozen_cutoff,comparator,metric,proposed_mean,comparator_mean,effect,ci_low,ci_high,bootstrap_repeats
relative_reduction,100,0.1,0.151481887129097,False,zero_shot_active,profile_mae,0.27034532102815684,0.3548418536428337,0.23812448206779724,0.08461415420736888,0.35947461572655887,5000
relative_reduction,100,0.1,0.151481887129097,False,zero_shot_active,barrier_abs_error,0.09792268374539409,0.12320536126838269,0.20520760835978902,-0.5727160514209046,0.6033150868460031,5000
joint_regression_rate,100,0.1,0.151481887129097,False,zero_shot_active,both_endpoints,,,0.15,0.08,0.22,5000
relative_reduction,100,0.1,0.151481887129097,False,learned_equal,profile_mae,0.27034532102815684,0.28563095884518924,0.053515339789609984,-0.062327668746367464,0.15922643478032245,5000
relative_reduction,100,0.1,0.151481887129097,False,learned_equal,barrier_abs_error,0.09792268374539409,0.2557201858656453,0.6170709660095336,0.429269640857502,0.7713946206196757,5000
joint_regression_rate,100,0.1,0.151481887129097,False,learned_equal,both_endpoints,,,0.09,0.04,0.15,5000
relative_reduction,200,0.2,0.1839342252165308,False,zero_shot_active,profile_mae,0.2764335531124627,0.3815670101431526,0.275530782892491,0.18863399214060061,0.35099919928137635,5000
relative_reduction,200,0.2,0.1839342252165308,False,zero_shot_active,barrier_abs_error,0.11402873232370661,0.17850874983155637,0.361214884809255,0.09346384194243171,0.5751710589056854,5000
joint_regression_rate,200,0.2,0.1839342252165308,False,zero_shot_active,both_endpoints,,,0.115,0.075,0.16,5000
relative_reduction,200,0.2,0.1839342252165308,False,learned_equal,profile_mae,0.2764335531124627,0.30100493728060834,0.08163116655205971,0.0022515929251499703,0.15564696272739728,5000
relative_reduction,200,0.2,0.1839342252165308,False,learned_equal,barrier_abs_error,0.11402873232370661,0.3052281758281764,0.6264147894790114,0.48494526222592876,0.7517547949590043,5000
joint_regression_rate,200,0.2,0.1839342252165308,False,learned_equal,both_endpoints,,,0.1,0.06,0.145,5000
